Model_Year,Make,Model,Vehicle Class,Motor_(kW),Transmission,Fuel_Type,Range_(km),terminal_voltage,terminal_current,temperature,charge_current,charge_voltage,time,capacity,cycle,SOH
2016,Nissan,LEAF (24 kWh),Mid-size,80,A1,B,135,3.485475025,-2.009587394,33.99739914,-1.9982,2.551,2326.375,1.836177421,22,0.918088711
2016,Nissan,LEAF (30 kWh),Mid-size,80,A1,B,172,3.483569374,-2.011967423,34.05777539,-1.9982,2.549,2345.313,1.836177421,22,0.918088711
2016,smart,fortwo electric drive cabriolet,Two-seater,35,A1,B,109,3.615864169,-2.010817887,30.7321965,-1.9982,2.678,1295.516,1.814031128,26,0.907015564
2016,smart,fortwo electric drive coupe,Two-seater,35,A1,B,109,3.61273626,-2.013724932,30.78632944,-1.9982,2.675,1314,1.814031128,26,0.907015564
2016,Tesla,Model S (60 kWh pre- 6/16),Full-size,285,A1,B,335,3.609235228,-2.009211638,30.83786058,-1.9982,2.671,1332.516,1.814031128,26,0.907015564
2016,Tesla,Model S (60 kWh),Full-size,285,A1,B,338,3.606055293,-2.013050493,30.89688136,-1.9982,2.669,1350.922,1.814031128,26,0.907015564
2016,Tesla,Model S (70 kWh),Full-size,285,A1,B,377,3.602766234,-2.011703959,30.94991766,-1.9982,2.665,1369.375,1.814031128,26,0.907015564
2016,Tesla,Model S (75 kWh),Full-size,285,A1,B,401,3.599517595,-2.010976837,31.01488832,-1.9982,2.662,1387.891,1.814031128,26,0.907015564
2016,Tesla,Model S (85/90 kWh),Full-size,285,A1,B,426,3.390316193,-2.012782707,35.46986711,-1.9982,2.459,2881.906,1.814769194,27,0.907384597
2016,Tesla,Model S 60D,Full-size,386,A1,B,351,3.384093566,-2.011332038,35.55368687,-1.9982,2.453,2901.25,1.814769194,27,0.907384597
2016,Tesla,Model S 70D,Full-size,386,A1,B,386,3.377305022,-2.01250127,35.63785209,-1.9982,2.446,2920.687,1.814769194,27,0.907384597
2016,Tesla,Model S 75D,Full-size,386,A1,B,417,3.369750805,-2.012658769,35.72749838,-1.9982,2.439,2940.156,1.814769194,27,0.907384597
2016,Tesla,Model S 85D/90D,Full-size,386,A1,B,435,3.467477876,-2.014771182,33.79257715,-1.9982,2.529,2418.984,1.802765665,29,0.901382833
2016,Tesla,Model S 90D (Refresh),Full-size,386,A1,B,473,3.465362974,-2.013103816,33.87125922,-1.9982,2.526,2438,1.802765665,29,0.901382833
2016,Tesla,Model S P85D/P90D,Full-size,568,A1,B,407,3.462997017,-2.012150872,33.92309176,-1.9982,2.524,2457.156,1.802765665,29,0.901382833
2016,Tesla,Model S P90D (Refresh),Full-size,568,A1,B,435,3.168678916,-2.012281735,37.35824371,1.9982,2.233,3204.797,1.851802552,31,0.925901276
2016,Tesla,Model S P100D,Full-size,568,A1,B,507,3.149998556,-2.013360884,37.38511256,1.9982,2.215,3214.156,1.851802552,31,0.925901276
2016,Tesla ,Model X 60D,SUV: Standard,386,A1,B,322,3.129785224,-2.01246661,37.3633723,1.9984,2.196,3223.515,1.851802552,31,0.925901276
2016,Tesla,Model X 75D,SUV: Standard,386,A1,B,383,3.440395534,-2.01407943,34.68378656,1.9982,2.489,2642.39,1.819904109,33,0.909952055
2016,Tesla,Model X 90D,SUV: Standard,386,A1,B,414,3.439062148,-2.016579512,34.74297595,1.9982,2.488,2651.765,1.819904109,33,0.909952055
2016,Tesla,Model X P90D,SUV: Standard,568,A1,B,402,3.437759266,-2.013455014,34.82218868,1.9982,2.486,2661.156,1.819904109,33,0.909952055
2016,Tesla,Model X P100D,SUV: Standard,568,A1,B,465,3.436355743,-2.013223828,34.76859043,1.9982,2.485,2670.515,1.819904109,33,0.909952055
2017,BMW,i3 (60 Ah),Subcompact,125,A1,B,130,3.434766386,-2.011697293,34.8072917,1.9982,2.484,2679.859,1.819904109,33,0.909952055
2017,BMW,i3 (94 Ah),Subcompact,125,A1,B,183,3.648950017,-2.014081448,30.16138489,1.9982,2.683,1097.344,1.799377065,36,0.899688533
2017,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,383,3.647023114,-2.01318673,30.23877865,1.9982,2.681,1106.734,1.799377065,36,0.899688533
2017,Ford,Focus Electric,Compact,107,A1,B,185,3.645199083,-2.011323364,30.28611446,1.9982,2.68,1116.094,1.799377065,36,0.899688533
2017,Hyundai,IONIQ Electric,Mid-size,88,A1,B,200,3.643022366,-2.012626059,30.31267115,1.9982,2.678,1125.422,1.799377065,36,0.899688533
2017,Kia,Soul EV,Station wagon: Small,81,A1,B,150,3.641173104,-2.013757207,30.31997506,1.9982,2.677,1134.828,1.799377065,36,0.899688533
2017,Mitsubishi,i-MiEV,Subcompact,49,A1,B,100,3.639121413,-2.013226623,30.3380055,1.9982,2.675,1144.188,1.799377065,36,0.899688533
2017,Nissan,LEAF,Mid-size,80,A1,B,172,3.556699372,-2.011173843,31.48962351,1.9982,2.599,1593.328,1.788443234,37,0.894221617
2017,Tesla,Model S (60 kWh),Full-size,285,A1,B,338,3.555448426,-2.012090542,31.55296595,1.9982,2.598,1602.656,1.788443234,37,0.894221617
2017,Tesla,Model S (75 kWh),Full-size,285,A1,B,401,3.55408674,-2.011097282,31.5353536,1.9982,2.596,1612,1.788443234,37,0.894221617
2017,Tesla,Model S 60D,Full-size,386,A1,B,351,3.552243632,-2.014059401,31.56847563,1.9982,2.595,1621.36,1.788443234,37,0.894221617
2017,Tesla,Model S 75D,Full-size,386,A1,B,417,3.553420405,-2.016178752,31.18937274,1.9982,2.592,1584.062,1.773033716,39,0.886516858
2017,Tesla,Model S 90D,Full-size,386,A1,B,473,3.552009243,-2.010936542,31.18957929,1.9982,2.59,1593.453,1.773033716,39,0.886516858
2017,Tesla,Model S 100D,Full-size,386,A1,B,539,3.550465802,-2.015459326,31.21835324,1.9982,2.59,1602.828,1.773033716,39,0.886516858
2017,Tesla,Model S P90D,Full-size,568,A1,B,435,3.558140034,-2.012116628,31.86893875,1.9982,2.597,1555.891,1.767872111,41,0.883936056
2017,Tesla ,Model S P100D,Full-size,568,A1,B,507,3.5568515,-2.01325349,31.9014915,1.9982,2.596,1565.282,1.767872111,41,0.883936056
2017,Tesla ,Model X 60D,SUV: Standard,386,A1,B,322,3.555270161,-2.013637001,31.92509316,1.9982,2.594,1574.61,1.767872111,41,0.883936056
2017,Tesla ,Model X 75D,SUV: Standard,386,A1,B,383,3.553766745,-2.012867335,31.94966203,1.9984,2.593,1584.016,1.767872111,41,0.883936056
2017,Tesla ,Model X 90D,SUV: Standard,386,A1,B,414,3.217533328,-2.013038016,36.4685989,1.9982,2.277,2988.906,1.751730487,45,0.875865244
2017,Tesla ,Model X 100D,SUV: Standard,386,A1,B,475,3.204382634,-2.014054644,36.53071166,1.9982,2.263,2998.234,1.751730487,45,0.875865244
2017,Tesla ,Model X P90D,SUV: Standard,568,A1,B,402,3.189946602,-2.011337495,36.6402219,1.9982,2.249,3007.64,1.751730487,45,0.875865244
2017,Tesla ,Model X P100D,SUV: Standard,568,A1,B,465,3.174160399,-2.01155804,36.67270937,1.9982,2.234,3017.015,1.751730487,45,0.875865244
2017,Volkswagen,e-Golf,Compact,100,A1,B,201,3.833401064,-2.012869,26.38381609,1.9982,2.863,328.656,1.736091351,47,0.868045676
2018,BMW,i3,Subcompact,125,A1,B,183,3.830837156,-2.012887917,26.48406339,1.9982,2.86,338.016,1.736091351,47,0.868045676
2018,BMW,i3s,Subcompact,135,A1,B,172,3.828021644,-2.010713293,26.5890908,1.9982,2.857,347.328,1.736091351,47,0.868045676
2018,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,383,3.636549976,-2.012875814,32.70276827,1.9982,2.677,1153.312,1.793624015,48,0.896812008
2018,Ford,Focus Electric,Compact,107,A1,B,185,3.634691889,-2.01187145,32.7418,1.9982,2.675,1162.719,1.793624015,48,0.896812008
2018,Hyundai,IONIQ Electric,Mid-size,88,A1,B,200,3.632888967,-2.013954387,32.76894472,1.9982,2.673,1172.047,1.793624015,48,0.896812008
2018,Kia,Soul EV,Station wagon: Small,81,A1,B,179,3.551685603,-2.010646995,32.49059351,1.9982,2.589,1593.657,1.767364208,50,0.883682104
2018,Nissan,LEAF,Mid-size,110,A1,B,242,3.550566062,-2.014177931,32.51195196,1.9982,2.588,1603.016,1.767364208,50,0.883682104
2018,smart,fortwo electric drive cabriolet,Two-seater,60,A1,B,92,3.549077666,-2.009937296,32.54833483,1.9982,2.586,1612.391,1.767364208,50,0.883682104
2018,smart,fortwo electric drive coupe,Two-seater,60,A1,B,93,3.547819288,-2.010769132,32.59739776,1.9982,2.585,1621.719,1.767364208,50,0.883682104
2018,Tesla,Model 3 Mid Range,Mid-size,202,A1,B,418,3.300448231,-0.001920667,37.97298713,0.0006,0,3189.641,1.726321724,55,0.863160862
2018,Tesla,Model 3 Long Range,Mid-size,202,A1,B,499,3.316409637,-0.000939732,37.85865678,0.0006,0,3199.329,1.726321724,55,0.863160862
2018,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,499,3.330667075,0.002141441,37.71134644,0.0008,0,3208.969,1.726321724,55,0.863160862
2018,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,A1,B,499,3.760376799,-2.012126216,29.19726164,1.998,2.785,562.765,1.715806539,56,0.85790327
2018,Tesla,Model S (75 kWh),Full-size,285,A1,B,401,3.757137412,-2.010097836,29.31864471,1.998,2.782,572.172,1.715806539,56,0.85790327
2018,Tesla,Model S 75D,Full-size,386,A1,B,417,3.753891309,-2.012184555,29.33107278,1.9982,2.778,581.531,1.715806539,56,0.85790327
2018,Tesla,Model S 100D,Full-size,386,A1,B,539,3.624960656,-2.012878367,30.79050752,1.9982,2.655,1087.343,1.700311027,59,0.850155514
2018,Tesla,Model S P100D,Full-size,568,A1,B,507,3.622806043,-2.01189404,30.82156469,1.9982,2.654,1096.671,1.700311027,59,0.850155514
2018,Tesla,Model X 75D,SUV: Standard,386,A1,B,383,3.620895167,-2.011328723,30.84183773,1.9982,2.652,1106.015,1.700311027,59,0.850155514
2018,Tesla,Model X 100D,SUV: Standard,386,A1,B,475,3.766219553,-2.011755201,29.28964496,1.9982,2.794,534.859,1.69457986,60,0.84728993
2018,Tesla,Model X P100D,SUV: Standard,568,A1,B,465,3.763114484,-2.014028338,29.36010457,1.9982,2.791,544.219,1.69457986,60,0.84728993
2018,Volkswagen,e-Golf,Compact,100,A1,B,201,3.759981972,-2.011342011,29.43015313,1.9982,2.787,553.625,1.69457986,60,0.84728993
2019,Audi,e-tron 55 quattro,SUV: Standard,300,A1,B,329,3.756718879,-2.011292423,29.54137205,1.9982,2.785,562.969,1.69457986,60,0.84728993
2019,BMW,i3 (120 Ah),Subcompact,125,A1,B,246,3.753414481,-2.013101883,29.60666871,1.9982,2.781,572.375,1.69457986,60,0.84728993
2019,BMW,i3s (120 Ah),Subcompact,135,A1,B,246,3.608061355,-2.010739514,30.69652453,1.9982,2.644,1143.969,1.684902909,61,0.842451455
2019,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,383,3.606206514,-2.013211148,30.72725107,1.9982,2.642,1153.328,1.684902909,61,0.842451455
2019,Hyundai,IONIQ Electric,Mid-size,88,A1,B,200,3.604134253,-2.011518815,30.78167927,1.9982,2.64,1162.703,1.684902909,61,0.842451455
2019,Hyundai,Kona Electric,SUV: Small,150,A1,B,415,3.602225037,-2.014286566,30.81337329,1.9982,2.638,1172.047,1.684902909,61,0.842451455
2019,Jaguar,I-PACE,SUV: Small,294,A1,B,377,3.523330449,-2.013377425,32.14432436,1.9982,2.552,1611.891,1.674474159,62,0.83723708
2019,Kia,Niro EV,Station wagon: Small,150,A1,B,385,3.522173862,-2.011523064,32.16527821,1.9982,2.551,1621.266,1.674474159,62,0.83723708
2019,Kia,Soul EV,Station wagon: Small,81,A1,B,179,3.520813437,-2.010701556,32.20798672,1.9982,2.55,1630.625,1.674474159,62,0.83723708
2019,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,243,3.519441945,-2.011216478,32.31705978,1.9982,2.548,1639.969,1.674474159,62,0.83723708
2019,Nissan,LEAF S PLUS,Mid-size,160,A1,B,363,3.145415751,-2.011803851,37.54677871,1.9982,2.187,2858.234,1.663716376,64,0.831858188
2019,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,349,3.128883887,-2.011555993,37.59151336,1.9982,2.171,2867.547,1.663716376,64,0.831858188
2019,smart EQ,fortwo cabriolet,Two-seater,60,A1,B,92,3.11109779,-2.013995542,37.70303219,1.9982,2.155,2876.938,1.663716376,64,0.831858188
2019,smart EQ,fortwo coupe,Two-seater,60,A1,B,93,3.569720797,-2.012329928,31.58488481,1.9982,2.604,1312.578,1.659013869,65,0.829506935
2019,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,151,3.567624265,-2.011534943,31.62573606,1.9982,2.603,1321.985,1.659013869,65,0.829506935
2019,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,386,3.566060474,-2.013286457,31.66356005,1.9982,2.601,1331.266,1.659013869,65,0.829506935
2019,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,425,3.486469298,-2.015271793,33.1689048,1.9982,2.511,1808.921,1.637857843,68,0.818928922
2019,Tesla,Model 3 Long Range,Mid-size,211,A1,B,499,3.485253681,-2.012021139,33.21161127,1.9982,2.51,1818.375,1.637857843,68,0.818928922
2019,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,499,3.483916942,-2.012005822,33.24125336,1.9982,2.509,1827.734,1.637857843,68,0.818928922
2019,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,A1,B,499,3.605363472,-2.0143149,30.53294074,1.9982,2.625,1059.36,1.61132566,72,0.80566283
2019,Tesla,Model S 75D,Full-size,386,A1,B,417,3.602986736,-2.01227856,30.57613724,1.9982,2.623,1068.75,1.61132566,72,0.80566283
2019,Tesla,Model S 100D,Full-size,386,A1,B,539,3.600753167,-2.009399119,30.62251544,1.998,2.622,1078.11,1.61132566,72,0.80566283
2019,Tesla,Model S P100D,Full-size,568,A1,B,507,3.598712417,-2.013322192,30.64922102,1.9982,2.62,1087.454,1.61132566,72,0.80566283
2019,Tesla,Model S Standard Range,Full-size,398,A1,B,459,3.701677103,-2.014719095,29.69859589,1.998,2.723,666.078,1.601514223,74,0.800757112
2019,Tesla,Model S Long Range,Full-size,398,A1,B,595,3.699146604,-2.012086245,29.71350872,1.9982,2.721,675.453,1.601514223,74,0.800757112
2019,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,555,3.696451978,-2.013219787,29.71380445,1.998,2.719,684.828,1.601514223,74,0.800757112
2019,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,523,3.693820821,-2.012590411,29.73098562,1.998,2.716,694.156,1.601514223,74,0.800757112
2019,Tesla,Model X 75D,SUV: Standard,386,A1,B,383,3.691223138,-2.0141171,29.74870369,1.9982,2.713,703.547,1.601514223,74,0.800757112
2019,Tesla,Model X 100D,SUV: Standard,386,A1,B,475,3.71950792,-2.0112914,29.47598539,1.998,2.743,600.672,1.590369231,75,0.795184616
2019,Tesla,Model X P100D,SUV: Standard,568,A1,B,465,3.716535859,-2.011963543,29.51706005,1.9982,2.739,610.032,1.590369231,75,0.795184616
2019,Tesla,Model X Standard Range,SUV: Standard,398,A1,B,410,3.71379996,-2.012832204,29.54560867,1.998,2.737,619.391,1.590369231,75,0.795184616
2019,Tesla,Model X Long Range,SUV: Standard,398,A1,B,523,3.710932409,-2.012245548,29.57429801,1.9982,2.735,628.766,1.590369231,75,0.795184616
2019,Tesla,"Model X Performance (20"" Wheels)",SUV: Standard,580,A1,B,491,3.708083494,-2.010471582,29.59037861,1.9982,2.732,638.125,1.590369231,75,0.795184616
2019,Tesla,"Model X Performance (22"" Wheels)",SUV: Standard,580,A1,B,435,3.837958111,-2.011552023,26.34483527,1.998,2.851,244.359,1.585788997,76,0.792894499
2019,Volkswagen,e-Golf,Compact,100,A1,B,201,3.834843083,-2.01367323,26.44520433,1.998,2.849,253.734,1.585788997,76,0.792894499
2020,Audi,e-tron Sportback 55 quattro,SUV: Standard,300,A1,B,351,3.83132524,-2.012967293,26.55632319,1.9982,2.847,263.14,1.585788997,76,0.792894499
2020,BMW,i3 (120 Ah),Subcompact,125,A1,B,246,3.82823316,-2.013821462,26.65121027,1.998,2.844,272.468,1.585788997,76,0.792894499
2020,BMW,i3s (120 Ah),Subcompact,135,A1,B,246,3.825155629,-2.011415563,26.74457611,1.9982,2.841,281.812,1.585788997,76,0.792894499
2020,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,417,4.197843265,-0.000352563,23.40886326,0.0006,4.213,9.391,1.564901995,80,0.782450998
2020,Hyundai,IONIQ Electric,Mid-size,100,A1,B,274,3.994734693,-2.013548197,23.42090739,1.9982,2.969,19.547,1.564901995,80,0.782450998
2020,Hyundai,Kona Electric,SUV: Small,150,A1,B,415,3.976735208,-2.012570571,23.48658538,1.998,2.966,28.891,1.564901995,80,0.782450998
2020,Jaguar,I-PACE,SUV: Small,294,A1,B,377,3.962440184,-2.012443994,23.58178762,1.998,2.959,38.25,1.564901995,80,0.782450998
2020,Kia,Niro EV,Station wagon: Small,150,A1,B,385,3.571685488,-2.010397453,30.55721552,1.9982,2.596,1125.312,1.559765947,81,0.779882974
2020,Kia,Soul EV (120 Ah),Station wagon: Small,150,A1,B,248,3.569894862,-2.013145745,30.5975459,1.9982,2.594,1134.672,1.559765947,81,0.779882974
2020,Kia,Soul EV (180 Ah),Station wagon: Small,150,A1,B,383,3.56767326,-2.013867119,30.64030144,1.998,2.592,1144.062,1.559765947,81,0.779882974
2020,MINI,Cooper SE 3 Door,Subcompact,135,A1,B,177,3.565677289,-2.012165008,30.67321664,1.9982,2.589,1153.422,1.559765947,81,0.779882974
2020,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,240,3.813495087,-2.015342716,27.42227672,1.9982,2.824,300.641,1.554689354,83,0.777344677
2020,Nissan,LEAF S PLUS,Mid-size,160,A1,B,363,3.810278957,-2.013900993,27.52012639,1.998,2.821,310.078,1.554689354,83,0.777344677
2020,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,349,3.807318391,-2.01113232,27.6110887,1.9982,2.818,319.453,1.554689354,83,0.777344677
2020,Porsche,Taycan 4S (Performance Battery Plus),Compact,360,A2,B,327,3.804265038,-2.013369759,27.71463077,1.9982,2.816,328.781,1.554689354,83,0.777344677
2020,Porsche,Taycan Turbo,Compact,460,A2,B,323,3.801118211,-2.013082645,27.80812557,1.998,2.813,338.188,1.554689354,83,0.777344677
2020,Porsche,Taycan Turbo S,Compact,460,A2,B,309,3.687191999,-2.010892535,29.6783309,1.998,2.71,656.39,1.538236599,85,0.7691183
2020,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,151,3.684400848,-2.011557075,29.69039372,1.998,2.707,665.703,1.538236599,85,0.7691183
2020,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,402,3.681629964,-2.013355587,29.70926817,1.998,2.705,675.046,1.538236599,85,0.7691183
2020,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,425,3.678927307,-2.013829431,29.71353269,1.998,2.702,684.453,1.538236599,85,0.7691183
2020,Tesla,Model 3 Long Range,Mid-size,211,A1,B,531,3.676299117,-2.012277274,29.72662956,1.998,2.699,693.812,1.538236599,85,0.7691183
2020,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,518,3.673409346,-2.013509928,29.73562016,1.998,2.697,703.171,1.538236599,85,0.7691183
2020,Tesla,"Model 3 Long Range AWD Performance (18"" Wheels)",Mid-size,358,A1,B,518,3.011347226,0.000470893,40.05748238,0.0008,0,2757.75,1.528525263,87,0.764262632
2020,Tesla,"Model 3 Long Range AWD Performance (19"" Wheels)",Mid-size,358,A1,B,489,3.096305998,0.001403166,40.06732467,0.0008,0,2767.359,1.528525263,87,0.764262632
2020,Tesla,"Model 3 Long Range AWD Performance (20"" Wheels)",Mid-size,358,A1,B,481,3.158158979,-0.001743221,40.02374102,0.0006,0,2777.031,1.528525263,87,0.764262632
2020,Tesla,Model S Standard Range,Full-size,398,A1,B,462,3.20579885,-0.00029465,39.93123243,0.0006,0,2786.765,1.528525263,87,0.764262632
2020,Tesla,Model S Long Range,Full-size,398,A1,B,600,3.456989448,-2.01231137,33.91554014,1.9982,2.488,1733.844,1.522647325,88,0.761323663
2020,Tesla,Model S Long Range Plus (pre-15/6/20),Full-size,398,A1,B,629,3.455395547,-2.012294602,33.95202085,1.9982,2.486,1743.234,1.522647325,88,0.761323663
2020,Tesla,Model S Long Range Plus,Full-size,398,A1,B,647,3.454005993,-2.010654991,33.99425108,1.9982,2.485,1752.562,1.522647325,88,0.761323663
2020,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,560,3.569120001,-2.00921048,31.27960074,1.9982,2.595,1087.312,1.517485994,89,0.758742997
2020,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,525,3.566678549,-2.016451294,31.32178923,1.9982,2.594,1096.625,1.517485994,89,0.758742997
2020,Tesla,Model X Standard Range,SUV: Standard,398,A1,B,415,3.564776189,-2.012215298,31.36128863,1.9982,2.591,1106,1.517485994,89,0.758742997
2020,Tesla,Model X Long Range,SUV: Standard,398,A1,B,528,3.562591323,-2.008098742,31.39624805,1.9982,2.589,1115.359,1.517485994,89,0.758742997
2020,Tesla,Model X Long Range Plus,SUV: Standard,398,A1,B,565,3.761684768,-2.01241279,29.2094282,1.9982,2.775,525.5,1.605818899,90,0.80290945
